               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045582,            0.030342,            0.037612,             0.43792,             0.41074,             0.29911,             0.14049,            0.038818,            0.015161,            0.038236,            0.006436,            0.006436,            0.006436
                  38,             0.04471,            0.029612,            0.037639,             0.48055,             0.45278,             0.35897,             0.16458,            0.037404,            0.014594,            0.041599,            0.006337,            0.006337,            0.006337
                  39,            0.044596,            0.029856,            0.035659,             0.48243,             0.37775,             0.36716,              0.1819,            0.037606,            0.014293,            0.035894,            0.006238,            0.006238,            0.006238
                  40,            0.043744,            0.029392,            0.035572,             0.54233,             0.43792,             0.39286,             0.19371,            0.035619,            0.014525,            0.037743,            0.006139,            0.006139,            0.006139
                  41,             0.04403,            0.030098,             0.03557,             0.44696,             0.47368,             0.36499,             0.17546,            0.036584,            0.015147,            0.035927,             0.00604,             0.00604,             0.00604
                  42,            0.043432,            0.029327,            0.033375,              0.4974,             0.43627,             0.35238,             0.17127,            0.036765,            0.014672,             0.03885,            0.005941,            0.005941,            0.005941
                  43,             0.04311,            0.029134,            0.033491,             0.45157,             0.49218,             0.38351,             0.17984,            0.037415,             0.01499,            0.040847,            0.005842,            0.005842,            0.005842
                  44,            0.042478,            0.029317,            0.032563,             0.41128,             0.50416,             0.41954,             0.19144,            0.035623,            0.014286,            0.035628,            0.005743,            0.005743,            0.005743
                  45,            0.042237,             0.02882,            0.031648,             0.40176,             0.46658,             0.37332,             0.18412,            0.035647,            0.014483,            0.034502,            0.005644,            0.005644,            0.005644
                  46,            0.042264,            0.029849,            0.032366,             0.47455,              0.3714,             0.37828,             0.17711,            0.037548,            0.015495,            0.036101,            0.005545,            0.005545,            0.005545
                  47,             0.04228,            0.028204,            0.033147,             0.45283,             0.44688,              0.3967,             0.18534,            0.036507,            0.014079,            0.033498,            0.005446,            0.005446,            0.005446
                  48,            0.042493,            0.027654,            0.032852,             0.46306,             0.39813,             0.37766,             0.17958,            0.037454,            0.014509,            0.034894,            0.005347,            0.005347,            0.005347
                  49,            0.042379,            0.029123,            0.031207,              0.4699,             0.40271,             0.37515,             0.17627,            0.036365,            0.015063,            0.038916,            0.005248,            0.005248,            0.005248
                  50,            0.042173,            0.028512,            0.030845,             0.47167,             0.48245,             0.40958,             0.19021,            0.034758,            0.014739,            0.038577,            0.005149,            0.005149,            0.005149
                  51,            0.042583,            0.028973,             0.03012,             0.45447,             0.47965,             0.40055,             0.20021,            0.034748,            0.014364,            0.037667,             0.00505,             0.00505,             0.00505
                  52,             0.04205,            0.028459,            0.030676,             0.46555,             0.42789,              0.3991,             0.19525,            0.035972,            0.013944,            0.033323,            0.004951,            0.004951,            0.004951
                  53,            0.041602,            0.027653,            0.030441,             0.42812,             0.50084,             0.42013,             0.21876,            0.035654,            0.014321,            0.036657,            0.004852,            0.004852,            0.004852
                  54,            0.041499,            0.027752,            0.029152,             0.48778,             0.49333,             0.44324,             0.20994,            0.035276,            0.014534,            0.031245,            0.004753,            0.004753,            0.004753
                  55,            0.041492,            0.027722,            0.029349,             0.44916,             0.46752,              0.4242,             0.20986,            0.034468,            0.014317,            0.034963,            0.004654,            0.004654,            0.004654
                  56,            0.040393,            0.028046,            0.028665,             0.44291,              0.5072,             0.44863,             0.22123,             0.03554,            0.014147,            0.034491,            0.004555,            0.004555,            0.004555
